hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
3104732,대륙황후,20220405,암,3100327,-,3100925,-,,,API8_2
3103426,대방가,20210521,거,3016994,태흥성,3014966,영주신비,,,API8_2
3018038,대별왕,20170203,거,3009526,백두장사,3009375,선양요격기,,,API8_2
3104139,대보,20220410,암,3017565,화룡특급,3015393,천하여신,,,API8_2
3107543,대보름,20230211,암,3015597,일대태수,3016517,세계여전사,,,API8_2
3107298,대봉산,20230228,거,3015597,일대태수,3018793,성읍호,,,API8_2
3102589,대왕대군,20200220,거,3100327,-,3011714,황해여걸,,,API8_2
3108211,대왕비,20230526,암,3018933,오라태양,3018372,웅진의꿈,,,API8_2
3103231,대왕조,20190518,거,3009526,백두장사,3008242,코지바람,,,API8_2
3107584,대운,20230318,암,3100316,-,3016601,군림천하,,,API8_2
3017963,대장대부,20170103,거,3009526,백두장사,3100937,-,,,API8_2
3108951,대정챔프,20240208,암,3018933,오라태양,3018625,웅진챔프,,,API8_2
3107485,대지사랑,20230330,암,3017578,광해최고,3018200,황금보석,,,API8_2
3018074,대지열차,20170505,거,3100327,-,3008037,얼음꽃,,,API8_2
3109366,대지황후,20240409,암,3018896,삼다백호,3016188,호재,,,API8_2
3109332,대탄성,20240420,암,3101680,아자아자,3016601,군림천하,,,API8_2
3101834,대향연,20200425,거,3015875,꼬리별,3016253,신비로,,,API8_2
3108228,댄스몽키,20230422,수,3014998,제주협객,3100481,-,,,API8_2
3018491,더빠르게,20180309,거,3009526,백두장사,3014879,장한기상,,,API8_2
3109152,더스틴,20240312,암,3017491,러너킹,3014724,상록수,,,API8_2
3108234,덕산호령,20230403,거,3007168,명문왕자,3016390,덕산공주,,,API8_2
3018322,덤장파워,20170216,거,3011133,장백산,3100456,-,,,API8_2
3109004,도너리,20240328,수,3019043,사무사,3015956,금빛은빛,,,API8_2
3108062,도르멍오라,20230513,수,3102647,-,3100980,-,,,API8_2
3104314,도전성공,20220304,암,3015597,일대태수,3017157,달천,,,API8_2
3104688,도총부,20220410,거,3100327,-,3015677,초인,,,API8_2
3104105,독차지,20220114,암,3016320,청마시대,3009375,선양요격기,,,API8_2
3108965,돈마공주,20240606,암,3101680,아자아자,3018914,돈마여제,,,API8_2
3103495,돈마맨,20210517,수,3017320,탐라신비,3017321,돈마스타,,,API8_2
3104205,돈마비행,20220226,암,3015597,일대태수,3100485,-,,,API8_2
3104124,돈마세상,20220429,거,3016502,선양호,3012631,한백여걸,,,API8_2
3107571,돈마제트,20230227,거,3016994,태흥성,3100485,-,,,API8_2
3105271,돈마천하,20220703,거,3017320,탐라신비,3017321,돈마스타,,,API8_2
3103906,돈보따리,20210330,거,3016320,청마시대,3012965,와흘찬가,,,API8_2
3103596,돌격,20210507,수,3012419,종결자,3017264,온새미로,,,API8_2
3104703,돌격본능,20220420,거,3015307,명가황제,3018611,구미호,,,API8_2
3104782,돌격최강,20220209,거,3013465,개벽신화,3015428,일급수,,,API8_2
3103257,돌체,20210724,거,3005652,제주명성,3015641,연락선,,,API8_2
3109245,돌핀,20240428,거,3101680,아자아자,3015433,탐라대통,,,API8_2
3108219,동남풍,20230330,암,3017491,러너킹,3101889,별빛찬가,,,API8_2
3108456,동명황후,20230417,암,3101445,리스펙,3015998,동명왕,,,API8_2
3107930,동반자,20230607,암,3018280,멋진기상,3010180,변화무적,,,API8_2
3107611,동방불패,20230512,암,3016994,태흥성,3016876,상상불가,,,API8_2
3104642,동방빛,20220526,거,3010278,천년의힘,3100819,-,,,API8_2
3109456,동방히트,20240316,암,3018669,안덕최고,3018104,미듬의별,,,API8_2
3104260,동백천하,20220325,거,3015307,명가황제,3011094,백록왕비,,,API8_2
3107324,동백하늘,20230403,거,3013465,개벽신화,3011094,백록왕비,,,API8_2
3104067,동부파이터,20210329,수,3009526,백두장사,3016511,동부여걸,,,API8_2
3103781,동안질주,20210417,암,3100316,-,3016925,태양로드,,,API8_2
3108955,동추,20240413,암,3018933,오라태양,3015998,동명왕,,,API8_2
3101988,드림더킹,20200103,거,3016320,청마시대,3100937,-,,,API8_2
3103294,드림매직,20210314,거,3015875,꼬리별,3016895,한라왕후,,,API8_2
3102707,드림명성,20200311,거,3009296,푸른대왕,3011957,백호명성,,,API8_2
3103452,드림볼트,20210213,거,3009526,백두장사,3100818,-,,,API8_2
3107455,드림스타,20230321,거,3009526,백두장사,3100818,-,,,API8_2
3103929,드림히트,20210324,거,3009526,백두장사,3011777,새벽소리,,,API8_2
3109323,등고지혜,20240429,암,3018896,삼다백호,3016306,무한불성,,,API8_2
3108460,디아즈,20230330,암,3101445,리스펙,3015956,금빛은빛,,,API8_2
3104167,디아즈타임,20220121,수,3009296,푸른대왕,3018148,금빛축제,,,API8_2
3102526,똘이장군,20200516,거,3100316,-,3012631,한백여걸,,,API8_2
3018679,뚜벅이,20180310,거,3100061,-,3014648,마음이,,,API8_2
3103292,라스트타임,20210314,거,3100327,-,3017932,스카이런,,,API8_2
3107639,라온여제,20230413,암,3017491,러너킹,3017991,척사광,,,API8_2
3101444,라이덴,20190331,수,3100032,-,3011490,보금자리,,,API8_2
3103814,라인강,20210413,암,3017565,화룡특급,3015260,비룡석탑,,,API8_2
3108047,람바다,20230517,거,3015549,산도롱,3016391,천문조,,,API8_2
3107357,레드윙스,20230414,암,3018906,와일드송,3017885,강남대가,,,API8_2
3107565,레드크라운,20230101,암,3015875,꼬리별,3018107,정석대로,,,API8_2
3109060,렛츠고,20240305,암,3015597,일대태수,3012877,불면불휴,,,API8_2
3103795,로한,20210415,거,3015723,만점왕,3013337,태자비,,,API8_2
3107566,롱히트,20230228,암,3016994,태흥성,3100379,-,,,API8_2
3109069,루비황제,20240509,수,3019043,사무사,3017526,광아의루비,,,API8_2
3108443,리더형,20230404,거,3101922,우승가득,3010234,산의여신,,,API8_2
3107927,리듬블루,20230527,암,3017491,러너킹,3016650,리듬,,,API8_2
3103451,리듬황후,20210213,암,3100327,-,3012653,불멸의별,,,API8_2
3107921,리브킹,20230324,거,3009526,백두장사,3014255,멘토링,,,API8_2
3103672,리치디바인,20210429,거,3100527,-,3014077,선봉여신,,,API8_2
3103545,마고여신,20200405,암,3016475,빗고을,3100648,-,,,API8_2
3101513,마마골드,20200308,암,3015223,제일용사,3012509,현무여신,,,API8_2
3109298,마시프,20240506,거,3101680,아자아자,3018055,전국여왕,,,API8_2
3104580,마인드퀸,20220508,암,3015597,일대태수,3014808,마인드,,,API8_2
3107884,마조여신,20230223,암,3015597,일대태수,3012877,불면불휴,,,API8_2
3104696,마천루,20220506,암,3017491,러너킹,3014322,일등열차,,,API8_2
3105233,마천지,20220505,거,3100989,-,3015826,장백천지,,,API8_2
3104083,마패도끼,20220215,거,3009526,백두장사,3018104,미듬의별,,,API8_2
3104279,마패창,20220403,거,3014974,터보킹,3009600,선양황후,,,API8_2
3107577,마패호,20230211,거,3014974,터보킹,3018104,미듬의별,,,API8_2
3107903,만광,20230427,수,3100527,-,3018081,최고자랑,,,API8_2
3108666,만리질주,20240124,암,3017565,화룡특급,3017412,세그먼트,,,API8_2
3109195,만리홍,20240507,수,3018669,안덕최고,3018590,수산공주,,,API8_2
3103327,만복,20210610,거,3100316,-,3100579,-,,,API8_2
3108450,만석황후,20230426,암,3101445,리스펙,3012704,만석군주,,,API8_2
3109479,만장일치,20240423,수,3016320,청마시대,3016020,강한걸,,,API8_2
3108061,맞대결,20230520,거,3102647,-,3100314,-,,,API8_2
3108927,맞대응,20240521,수,3100327,-,3017327,중문여제,,,API8_2
3102288,매스틱,20200511,암,3016320,청마시대,3014178,저글링,,,API8_2
3109155,매의눈빛,20240524,거,3101680,아자아자,3011129,조롱벌,,,API8_2
3108141,매직미르,20230216,거,3100989,-,3016895,한라왕후,,,API8_2
3104172,멋지다,20220228,수,3016502,선양호,3016319,송악영웅,,,API8_2
3107505,멋진선택,20230408,수,3017565,화룡특급,3013503,정도,,,API8_2
3105272,메이저,20220224,암,3017565,화룡특급,3015435,자유바람,,,API8_2
3101705,멘탈,20190515,수,3012419,종결자,3011391,금반지,,,API8_2
3104757,명가소녀,20220508,암,3009526,백두장사,3017454,명가공주,,,API8_2
3018522,명가의힘,20180425,수,3009526,백두장사,3009796,명가승,,,API8_2
3103656,명가장사,20210430,거,3009526,백두장사,3017454,명가공주,,,API8_2
3102338,명문대부,20190502,거,3012419,종결자,3008948,명문귀족,,,API8_2
3107363,명성디아즈,20230512,암,3100316,-,3016368,진가발휘,,,API8_2
3104094,명성만리,20220106,거,3009526,백두장사,3007402,금나라,,,API8_2
3103385,명성스토리,20210227,암,3100327,-,3100941,-,,,API8_2
3107855,명성여신,20230411,암,3005652,제주명성,3018072,선물이,,,API8_2
3103791,명성여왕,20210416,암,3012419,종결자,3010234,산의여신,,,API8_2
3109083,명성장군,20240418,수,3100327,-,3016387,장타명성,,,API8_2
3104319,명성황제,20220114,거,3015223,제일용사,3016427,한라전설,,,API8_2
3017500,명인황제,20160308,거,3009526,백두장사,3006378,성공일호,,,API8_2
3109223,명품대로,20240401,수,3101680,아자아자,3018107,정석대로,,,API8_2
3102521,명품명장,20200527,거,3016320,청마시대,3015688,명품태후,,,API8_2
3102353,명품세계,20190528,수,3016320,청마시대,3015688,명품태후,,,API8_2
3103530,명품챔프,20210103,거,3009526,백두장사,3016044,맹모삼천,,,API8_2
3104085,명품최강,20220123,거,3009526,백두장사,3016044,맹모삼천,,,API8_2
3104135,명품최고,20220418,수,3017578,광해최고,3015057,녹색산맥,,,API8_2
3107549,명품하늘,20230215,수,3009526,백두장사,3011070,고도화,,,API8_2
3102470,명품함성,20200319,암,3100061,-,3013455,명품열차,,,API8_2
3102645,명품행진,20200609,거,3014974,터보킹,3009898,일출왕국,,,API8_2
3108146,모구리,20230315,수,3100032,-,3011777,새벽소리,,,API8_2
3104218,모나파크,20220414,수,3015875,꼬리별,3018055,전국여왕,,,API8_2
3108049,목선동,20230314,암,3016475,빗고을,3009315,명령자,,,API8_2
3102403,몬딱,20190422,수,3016320,청마시대,3008037,얼음꽃,,,API8_2
3109217,무량공처,20240313,거,3018228,남북대로,3016044,맹모삼천,,,API8_2
3107347,무림미소,20230406,암,3018228,남북대로,3017112,한라질주,,,API8_2
3104619,무림여왕,20220412,암,3100327,-,3100931,-,,,API8_2
3105495,무림왕자,20220403,거,3100327,-,3012437,여걸명장,,,API8_2
3108915,무림위너,20240404,암,3009526,백두장사,3018860,백호위너,,,API8_2
3107326,무림제일,20230301,거,3009526,백두장사,3018756,전국제일,,,API8_2
3109313,무림출격,20240409,암,3101680,아자아자,3018317,선봉출격,,,API8_2
3109340,무림타격,20240330,수,3101680,아자아자,3018666,선봉타격,,,API8_2
3109372,무림태후,20240228,암,3017491,러너킹,3011093,선봉태후,,,API8_2
3107312,무림통일,20230401,수,3100061,-,3100925,-,,,API8_2
3107604,무림평정,20230401,수,3009526,백두장사,3017504,백호평정,,,API8_2
3104281,무명전사,20220413,암,3100061,-,3017057,영원한,,,API8_2
3104072,무비공,20210408,암,3015223,제일용사,3018081,최고자랑,,,API8_2
3017143,무소불위,20150420,거,3100037,-,3013041,강한천둥,,,API8_2
3109153,무신,20240522,암,3019043,사무사,3016329,사랑가득,,,API8_2
3105248,무영천마,20220301,암,3013465,개벽신화,3018318,역대명성,,,API8_2
3103576,무장고,20210510,거,3009526,백두장사,3008037,얼음꽃,,,API8_2
3103477,무적명장,20210520,거,3017556,황해무적,3017284,엄지세상,,,API8_2
3102455,무주미소,20200702,암,3100327,-,3016227,영주산,,,API8_2
3104121,무주여신,20220408,암,3009526,백두장사,3014204,희망여걸,,,API8_2
3104741,무주영웅,20220415,암,3100127,-,3016860,진성여왕,,,API8_2
3108201,무진로,20230302,거,3017491,러너킹,3017880,신촌여행,,,API8_2
3109027,무패여장,20240527,암,3101680,아자아자,3016862,구시구중,,,API8_2
3105309,무한도전,20220228,수,3009526,백두장사,3016878,노을천사,,,API8_2
3107522,무한정벌,20230511,거,3017557,광명지존,3015774,무한행복,,,API8_2
3016573,문무태왕,20130510,거,3009526,백두장사,3008037,얼음꽃,,,API8_2
3109288,문주왕비,20230410,암,3017491,러너킹,3014196,문스톤,,,API8_2
3108241,미드필더,20230602,거,3009296,푸른대왕,3013896,성읍명성,,,API8_2
3104157,미듬행진,20220301,암,3014974,터보킹,3017824,미듬비상,,,API8_2
3103559,미래거포,20210512,거,3009526,백두장사,3013003,녹색여걸,,,API8_2
3016257,미래명장,20140228,거,3005652,제주명성,3100943,-,,,API8_2
3102255,미래세계,20200217,거,3100061,-,3014424,거문덕이,,,API8_2
