hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
0051418,관악산글로벌,20220323,거,0045050,섀클포드,0040221,굿셰퍼드,,,API8_2
0053715,관악산레오,20210420,암,6115682,ACCELERATE,7028167,SO YOU KNOW,,,API8_2
0056353,관악산리키,20220423,거,7120945,COPANO RICKEY,7138209,PISA NO PRIVE,,,API8_2
0055519,관악산빅스텝,20240307,수,0041559,빅스,0046497,리에너자이즈,,,API8_2
0062434,관악산빅스톤,20240501,수,7029910,JACK CHRISTOPHER,6148451,SCRIPTURE,,,API8_2
0053436,관악산스카이,20230322,수,0038387,콩코드포인트,0043902,베리블레이드,,,API8_2
0055884,관악산스톰,20220223,수,6130177,MITOLE,6142171,ALMIGHTY MIRACLE,,,API8_2
0055885,관악산오투,20220124,암,6114907,CONNECT,6120582,DANESSA AGAIN,,,API8_2
0051619,관악산원더풀,20220325,암,0036732,머스킷맨,0045046,헤일리즈롤리팝,,,API8_2
0051913,관악산위시미,20220514,거,0032258,트리플나인,0025723,위시미석세스,,,API8_2
0055205,관악산윈디,20240122,암,6969075,지몰로지스트,0036853,오케이퀸,,,API8_2
0061570,관악산유니콘,20240411,암,6126922,TACITUS,6109820,LUCKY LADY LIN,,,API8_2
0055194,관악산점프,20240107,수,0038391,카우보이칼,0041966,프라우들리위해일,,,API8_2
0050857,관악산조이,20220117,암,0037972,올드패션드,0028261,조이럭키,,,API8_2
0052965,관악산챔프,20230227,수,0032990,한센,0043299,큐리어스캣,,,API8_2
0051622,관악산체크인,20220506,거,0032990,한센,0039496,만델리나,,,API8_2
0061456,관악산호프,20240301,수,6149805,HIGHLY MOTIVATED,6982210,NANCY G.,,,API8_2
0053340,구름,20230323,암,0044993,언캡처드,0040169,시라이트,,,API8_2
0056750,구름에,20240316,수,0044420,레볼루셔너리,0029797,금순이엄지,,,API8_2
0054214,군주민수,20230402,거,0025790,피스룰즈,0030926,북새명가,,,API8_2
0062987,굿나이스,20240526,수,6969041,MACLEAN'S MUSIC,7021623,RECIPROCAL,,,API8_2
0053074,굿모닝컴,20230320,수,0045049,프리덤차일드,0026041,오버파워,,,API8_2
0053200,굿잡,20230321,거,0040086,위드디스팅션,0037460,샴페인파티,,,API8_2
0056400,굿최강,20220501,거,6115212,GOOD SAMARITAN,6107993,SUMMER CHANT,,,API8_2
0045852,굿카보,20200330,거,0038391,카우보이칼,0029148,해피댄서,,,API8_2
0052505,굿해피,20210208,거,6126349,CLOUD COMPUTING,6113242,THUNDERING GALE,,,API8_2
0051692,그냥가라,20220226,암,0033119,선더모카신,0035462,해피공주,,,API8_2
0060347,그대만있다면,20230210,수,6126922,TACITUS,6113446,ANNIES LAW,,,API8_2
0053057,그라시아스,20230223,암,0045049,프리덤차일드,0036050,라온콘도르,,,API8_2
0061644,그랑블루,20240315,수,0036732,머스킷맨,0043048,푸른장미,,,API8_2
0061379,그랑파클래식,20240430,수,6965458,KANTHAROS,7000328,YOURMAJESTYSCROWN,,,API8_2
0046161,그래티튜드,20200430,암,0033566,파워블레이드,0041544,캐칭업,,,API8_2
0053024,그랜드커리지,20230131,수,0038245,미스치비어슬리,0027150,그랜드카라반,,,API8_2
0051037,그랜드쾌마,20220217,수,0046317,레이스데이,0034653,그랜드마케팅,,,API8_2
0050739,그랜드파크,20220128,수,0045050,섀클포드,0027150,그랜드카라반,,,API8_2
0055300,그랜드폭풍,20240310,암,0038387,콩코드포인트,0026886,그랜드특급,,,API8_2
0056451,그러치,20240430,암,6969075,지몰로지스트,0033019,레디포코트,,,API8_2
0060724,그레이고,20230315,암,0041819,닉스고,7000112,KENDALIN,,,API8_2
0053802,그레이스데이,20230523,수,0046317,레이스데이,0041970,그레이스필,,,API8_2
0051657,그레이스루트,20220401,암,0034428,테스타마타,0032054,그레이스,,,API8_2
0052963,그레이참,20230113,암,0044420,레볼루셔너리,0036695,플래쉬디만티너,,,API8_2
0055102,그레이캔디,20220221,수,6340178,CANDY RIDE,6149447,CAMILLI,,,API8_2
0062962,그레이트머니,20240326,수,6333083,SPEIGHTSTOWN,7054547,BLAZINBEAUTY,,,API8_2
1412124,그레이트스톰,20210430,거,0045082,오버애널라이즈,0024222,에이원,,,API8_2
0051991,그레이특급,20220508,수,0036194,인디언킹,0022760,그레이스톤,,,API8_2
0051381,그레이팬텀,20220418,암,0032990,한센,0029193,상류,,,API8_2
0056380,그린골드원,20240510,암,0032990,한센,0036823,정꽃,,,API8_2
0053233,그린재킷,20230305,거,0041800,메디치글로리,0029065,초원의별,,,API8_2
0050004,글라디우스,20210312,암,0045048,보이즈앳토스코노,0041865,사제불이,,,API8_2
0056421,글로리,20240430,암,0041566,투아너앤드서브,0027534,아이즈어글로우,,,API8_2
0051754,글로리데이,20220415,암,0036735,디바인파크,0024712,빅터우먼,,,API8_2
0055565,글로리삭스,20220311,거,6980256,WILL TAKE CHARGE,7005237,QUADRILLE,,,API8_2
0055089,글로리시티,20210902,수,6103836,OCEAN PARK,7124227,FIDGETTE,,,API8_2
0045892,글로리앤아너,20200430,암,0041566,투아너앤드서브,0036613,벤트온글로리,,,API8_2
0055563,글로리영광,20220320,수,6127203,CATALINA CRUISER,6780255,RUMORS OF GLORY,,,API8_2
0051605,글로리조이,20220404,거,0045050,섀클포드,0038884,조이풀룰러,,,API8_2
0052314,글로리퀸,20220325,암,0038227,크리솔라이트,0041539,스테파니갓이븐,,,API8_2
0055824,글로벌골든,20240320,수,6103967,GOLDENCENTS,0054965,워스티드,,,API8_2
0052134,글로벌기상,20220429,암,0028545,인디밴드,0020802,하늘기상,,,API8_2
0054177,글로벌디노,20230528,수,0034428,테스타마타,0033095,래피즈로즈,,,API8_2
0052911,글로벌랜드,20230218,암,0038391,카우보이칼,0041967,골든로즈Ⅱ,,,API8_2
0056037,글로벌레벨,20240524,수,6114907,CONNECT,0055039,언체인허하트,,,API8_2
0043713,글로벌보배,20190313,수,0038391,카우보이칼,0021264,이상화,,,API8_2
0043495,글로벌삭스,20170330,거,6964691,MUNNINGS,6105199,LET IT GO LADY,,,API8_2
0051855,글로벌서브,20220512,거,0041566,투아너앤드서브,0035525,글로벌퀸,,,API8_2
0053197,글로벌챔프,20230305,거,0037610,가온챔프,0040216,가온퀸,,,API8_2
0055703,글로벌최강,20240320,수,0038245,미스치비어슬리,0036149,해성스타,,,API8_2
0052844,글로벌카드,20230210,수,0045014,프로스펙티브,0026757,와일드카드,,,API8_2
0053919,글로벌캐넌,20230425,수,6969075,지몰로지스트,0040236,클레버타이밍,,,API8_2
0056592,글로벌컴퓨팅,20220422,거,6126349,CLOUD COMPUTING,6147829,HOT DIXIE DAME,,,API8_2
0060714,글로벌킹덤,20230515,거,6149589,THOUSAND WORDS,6992570,DUNDALK DANCER,,,API8_2
0051039,글로벌타임,20220203,수,0038391,카우보이칼,0041967,골든로즈Ⅱ,,,API8_2
0055428,글로벌파로아,20220830,거,6106898,AMERICAN PHAROAH,7128692,HARVEST START,,,API8_2
0045635,글로벌파워,20200329,수,0038391,카우보이칼,0029416,라이드미투더문,,,API8_2
0055535,글로벌포드,20240302,거,0045050,섀클포드,0043587,글로벌조이,,,API8_2
0054232,글로벌하남,20230428,거,0045082,오버애널라이즈,0021704,세이브더모먼트,,,API8_2
0058005,글로벌하트,20220824,암,6106898,AMERICAN PHAROAH,7169376,SPRING CHARM,,,API8_2
0046287,금빛강호,20200307,거,0021999,포리스트캠프,0027163,금빛물결,,,API8_2
