age,ageCond,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNameEn,hrNo,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNameEn,jkNo,meet,name,ord,owName,owNameEn,owNo,plcOdds,prizeCond,rank,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sexCond,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNameEn,trNo,track,weather,wgBudam,wgHr,winOdds
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,4,7,클래식오텀,CLASSIC AUTUMN,0059223,66,0,0,0,0,0,0,0,안드레,Andre Luiz Da Silva,080625,서울,미국,3,권경자,KWON KYUNG JA,105222,1.9,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,61.2,47.6,23.6,13.4,0,0,13.4,29.6,수,성별오픈,3,2,2,0,0,2,2,안병기,An Byung Ki,070146,포화 (16%),맑음,54.5,488(+2),7.4
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,3,1,플래시볼트,FLASH BOLT,0062614,66,0,0,0,0,0,0,0,김태훈,Kim Tae Hun,080512,서울,미국,4,김광두,Kim Gwang Du,109029,5.6,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,61.4,48.4,24.5,14.1,0,0,14.1,30.5,수,성별오픈,6,6,7,0,0,7,6,문병기,Moon Byeong Ki,070225,포화 (16%),맑음,54.5,446(-5),40
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,9,2,나르샤고트,NAREUSYA GOAT,0062626,66,0,0,0,0,0,0,0,임다빈,Lim Da Bin,080602,서울,미국,5,(주)아진화학,A-Jin Chemical,125010,2.9,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,61.8,47.8,23.8,13.4,0,0,13.4,29.9,수,성별오픈,4,3,3,0,0,3,4,정호익,Jung Ho Ik,070148,포화 (16%),맑음,54.5,567(-3),17.8
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,10,½,세종비상,SEJONG BISANG,0061539,66,0,0,0,0,0,0,0,마이아,Ruan Merari Maia,080616,서울,미국,6,정성진,Jung Sung Jin,122013,2.9,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,61.8,48.1,24,13.5,0,0,13.5,30,수,성별오픈,5,4,4,0,0,4,5,이신우,Lee Shin Woo,070167,포화 (16%),맑음,54.5,476(+2),14.7
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,5,1½,마이티원더,MIGHTY WONDER,0062606,66,0,0,0,0,0,0,0,유승완,Yoo Seung Wan,080417,서울,미국,7,조병태,Cho Byung Tai,113005,2.2,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,62.1,49.6,25.2,14.2,0,0,14.2,31.4,수,성별오픈,8,8,8,0,0,8,8,문세영,Moon Seyoung,070290,포화 (16%),맑음,54.5,478(+6),17.4
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,8,2½,황금승,HWANGGEUM SEUNG,0061534,66,0,0,0,0,0,0,0,송재철,Song Jae Chul,080513,서울,미국,8,송진석,Song Jin Seok,110002,5.3,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,62.5,49.2,24.8,14,0,0,14,31,수,성별오픈,7,7,6,0,0,6,7,문병기,Moon Byeong Ki,070225,포화 (16%),맑음,54.5,431(-8),33.8
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,6,6,원평크라운,WONPYEONG CROWN,0061529,66,0,0,0,0,0,0,0,이혁,Lee Hyeok,080486,서울,미국,9,김용재,Kim Young Jae,106198,9.7,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,63.5,50.1,25.6,15.1,0,0,15.1,31.7,수,성별오픈,9,9,10,0,0,10,9,정호익,Jung Ho Ik,070148,포화 (16%),맑음,54.5,476(-1),50.2
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,7,4,서리풀선샤인,SEORIPUL SUNSHINE,0061533,66,0,0,0,0,0,0,0,빅투아르,Johan Victoire,080582,서울,미국,10,박시용,Park Si Yong,010422,22.4,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,64.2,50.5,25.6,15,0,0,15,31.7,수,성별오픈,10,10,9,0,0,9,10,서홍수,Seo Hong Soo,070160,포화 (16%),맑음,54.5,445(-3),92.5
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,11,-,대동용마,DAEDONGYONGMA,0053110,66,0,0,0,0,0,0,0,김태희,Kim Tae Hui,080603,서울,한국,1,이혜섭,Lee Hye Sup,123010,1.4,R0~0,국6등급,0,20260823,일요일,1400,일반,3,86.8,73.3,48.7,13.6,0,0,36.4,54.7,수,성별오픈,1,2,2,0,0,2,2,서인석,Seo In Seok,070165,포화 (16%),맑음,56,465(-2),2.4
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,6,3,블루하와이,BLUE HAWAII,0053853,66,0,0,0,0,0,0,0,코지,Kazuya Asano,080617,서울,한국,2,허용,Huh Yong,123032,7.9,R0~0,국6등급,0,20260823,일요일,1400,일반,3,87.4,74.1,49.5,14.3,0,0,37,55.5,수,성별오픈,2,7,8,0,0,8,5,토니,Tony Castanheira,070265,포화 (16%),맑음,56,510(+3),21.6
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,10,1¾,클러치월드,CLUTCH WORLD,0054040,66,0,0,0,0,0,0,0,김효정,Kim Hyo Jung,080578,서울,한국,3,조아건설(주),JoA Construction,125009,1.4,R0~0,국6등급,0,20260823,일요일,1400,일반,3,87.7,74.1,48.9,13.9,0,0,36.6,55.1,수,성별오픈,3,3,5,0,0,3,3,리카디,Luigi Riccardi,070244,포화 (16%),맑음,56,487(+4),3.4
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,5,4,송당질주,SONGDANG JILJU,0053355,66,0,0,0,0,0,0,0,김태현,Kim Tae Hyun,080599,서울,한국,4,제주축산개발,Che Ju Livestock Development Co.,030013,2.4,R0~0,국6등급,0,20260823,일요일,1400,일반,3,88.4,75,49.9,14.5,0,0,37.6,56.1,암,성별오픈,5,10,10,0,0,10,9,심승태,Shim Seung Tae,070166,포화 (16%),맑음,54,464(-7),14.2
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,4,5,서부킹,SEOBU KING,0054064,66,0,0,0,0,0,0,0,안드레,Andre Luiz Da Silva,080625,서울,한국,5,부건영,Bu Gun Young,104079,2,R0~0,국6등급,0,20260823,일요일,1400,일반,3,89.2,74.2,48.2,13.5,0,0,36,54.4,수,성별오픈,4,1,1,0,0,1,1,서인석,Seo In Seok,070165,포화 (16%),맑음,56,504(-4),6.4
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,8,2,강한프린세스,GANGHAN PRINCESS,0053410,66,0,0,0,0,0,0,0,조상범,Jo Sang Beom,080533,서울,한국,6,강수덕,Kang Su Deok,113028,4.7,R0~0,국6등급,0,20260823,일요일,1400,일반,3,89.6,76,49.7,14.1,0,0,37,56.1,암,성별오픈,8,8,7,0,0,7,8,성상현,Seong Sanghyun,070289,포화 (16%),맑음,54,428(-3),18.3
4,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,7,5,스마트그랜드,SMART GRAND,0050795,66,0,0,0,0,0,0,0,우인철,Woo In Cheol,080621,서울,한국,7,박정재,Park Jeong Jae,010801,4.6,R0~0,국6등급,0,20260823,일요일,1400,일반,3,90.4,76,49.5,13.9,0,0,36.8,55.8,수,성별오픈,9,6,4,0,0,6,7,문병기,Moon Byeong Ki,070225,포화 (16%),맑음,55,459(+4),26.2
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,3,목,델타최강,DELTA CHOEGANG,0053874,66,0,0,0,0,0,0,0,유승완,Yoo Seung Wan,080417,서울,한국,8,강균호,KANG KYUN HO,106030,2.1,R0~0,국6등급,0,20260823,일요일,1400,일반,3,90.5,75.5,49,14.1,0,0,36.7,55.4,거,성별오픈,6,4,6,0,0,5,4,함완식,Ham Wan Sik,070248,포화 (16%),맑음,56,458(+5),9.1
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,1,2½,태광프린스,TAEGWANG PRINCE,0053488,66,0,0,0,0,0,0,0,김옥성,Kim Ok Sung,080100,서울,한국,9,문창완,Moon Chun Wan,105003,10.4,R0~0,국6등급,0,20260823,일요일,1400,일반,3,90.9,76.4,49.9,14.4,0,0,37.5,56.4,수,성별오픈,10,9,9,0,0,9,10,배휴준,Bae Hou Jun,070144,포화 (16%),맑음,56,516(+11),49.5
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,2,5,케이퀸,K-QUEEN,0053695,66,0,0,0,0,0,0,0,이혁,Lee Hyeok,080486,서울,한국,10,최홍일,Choi Hong Il,110016,3.7,R0~0,국6등급,0,20260823,일요일,1400,일반,3,91.7,75.9,49.2,13.9,0,0,36.7,55.6,암,성별오픈,7,5,3,0,0,4,6,서범석,Seo Bum Seok,070096,포화 (16%),맑음,54,478(+7),21
4,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,9,-,스마트워리어,SMART WARRIOR,0050838,66,0,0,0,0,0,0,0,김태훈,Kim Tae Hun,080512,서울,한국,95,,,,0,R0~0,국6등급,0,20260823,일요일,1400,일반,3,0,0,0,0,0,0,0,0,암,성별오픈,0,0,0,0,0,0,0,,,,포화 (16%),맑음,54,(),0
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,7,-,케렌시아,QUERENCIA,0053350,65,0,0,0,0,0,0,0,루이스,Luis Felipe Quiroz Martinez,080624,서울,한국,1,김경민,Kim Kyung Min,010542,1.9,R1~35,국5등급,30,20260823,일요일,1300,일반,4,80.2,66.3,41.7,13.6,0,0,30.2,47.6,수,성별오픈,2,2,4,0,0,2,2,정호익,Jung Ho Ik,070148,포화 (16%),맑음,54.5,473(),5
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,8,코,랩처,RAPTURE,0053633,65,0,0,0,0,0,0,0,푸르칸,Furkan Yuksel,080611,서울,한국,2,강승연,Kang Seung Youn,065060,2.4,R1~35,국5등급,33,20260823,일요일,1300,일반,4,80.2,66.3,41.6,13.4,0,0,30.1,47.6,암,성별오픈,1,1,1,0,0,1,1,신삼영,Shin Sam Young,070161,포화 (16%),맑음,54,447(-1),6.1
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,4,코,나올오로라,NAOL AURORA,0052968,65,0,0,0,0,0,0,0,정정희,Jeong Jeong Hee,080530,서울,한국,3,이경호a,Lee Kyoung Ho A,121010,1.4,R1~35,국5등급,30,20260823,일요일,1300,일반,4,80.2,66.6,41.9,13.6,0,0,30.4,48,암,성별오픈,3,3,2,0,0,4,3,최용건,Choi Yong Geon,070200,포화 (16%),맑음,52.5,527(-9),3.8
4,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,9,1¾,한강판타스틱,HANGANG FANTASTIC,0050663,65,0,0,0,0,0,0,0,임다빈,Lim Da Bin,080602,서울,한국,4,조금제,Cho Geum Je,109017,7.6,R1~35,국5등급,31,20260823,일요일,1300,일반,4,80.5,67.2,42.1,13.8,0,0,30.6,48.1,수,성별오픈,5,6,7,0,0,7,5,임채덕,Lim Chae Deok,070198,포화 (16%),맑음,55,517(+5),44.6
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,2,1¾,위너삭스,WINNER SOCKS,0052910,65,0,0,0,0,0,0,0,우인철,Woo In Cheol,080621,서울,한국,5,김창식,Kim Chang Sik,010352,1.9,R1~35,국5등급,29,20260823,일요일,1300,일반,4,80.8,67.4,42.4,14.3,0,0,31,48.5,거,성별오픈,7,8,8,0,0,8,8,강성오,Kang Sung O,070174,포화 (16%),맑음,53,448(-9),7.6
4,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,3,¾,더선몬스터,THE SUN MONSTER,0054476,65,0,0,0,0,0,0,0,김효정,Kim Hyo Jung,080578,서울,한국,6,한명로,Han Myeong Ro,111053,1.4,R1~35,국5등급,30,20260823,일요일,1300,일반,4,80.9,67.2,42.1,13.7,0,0,30.6,48.3,수,성별오픈,4,5,6,0,0,6,6,조현수,Cho Hyun Soo,070199,포화 (16%),맑음,54.5,511(+8),3.6
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,6,½,만금다온,MANGEUM DAON,0053083,65,0,0,0,0,0,0,0,김정준,Kim Jeong Jun,080473,서울,한국,7,전영애,Jun Yung Ae,121048,4,R1~35,국5등급,27,20260823,일요일,1300,일반,4,81,67.3,41.9,13.6,0,0,30.3,48,거,성별오픈,6,4,3,0,0,3,4,심승태,Shim Seung Tae,070166,포화 (16%),맑음,53,485(-4),17.4
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,5,1,더클래식,THE CLASSIC,0054520,65,0,0,0,0,0,0,0,조재로,Jo Jae Ro,080550,서울,한국,8,김정철,Kim Jung Cheol,065122,4.3,R1~35,국5등급,29,20260823,일요일,1300,일반,4,81.2,67.5,42.7,14.9,0,0,31.6,48.6,수,성별오픈,8,9,9,0,0,9,9,이관호,Lee Gwan Ho,070181,포화 (16%),맑음,54,527(+9),14.8
6,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,1,5,붉은폭풍,BULGEUN POKPUNG,0046204,65,0,0,0,0,0,0,0,코지,Kazuya Asano,080617,서울,한국,9,홍상기,Hong Sang Gi,105194,4,R1~35,국5등급,34,20260823,일요일,1300,일반,4,82.1,67.7,42.2,13.7,0,0,30.6,48.4,수,성별오픈,9,7,5,0,0,5,7,서인석,Seo In Seok,070165,포화 (16%),맑음,56.5,476(+4),14.6
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,3,-,플라잉스마트,FLYING SMART,0053811,66,0,0,0,0,0,0,0,코지,Kazuya Asano,080617,서울,한국,1,김형순,Kim Hyeong Sun,110028,1.3,R1~35,국5등급,30,20260823,일요일,1300,일반,5,80.5,66.9,42.3,13.6,0,0,30.4,48.5,암,암,1,6,5,0,0,5,5,토니,Tony Castanheira,070265,포화 (16%),맑음,54.5,452(-1),3
4,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,24750000,9900000,6300000,2250000,1800000,2,코,청해스타,CHEONGHAE STAR,0051627,66,0,0,0,0,0,0,0,김효정,Kim Hyo Jung,080578,서울,한국,2,유수현,Ryu Soo Hyeun,121004,1.7,R1~35,국5등급,34,20260823,일요일,1300,일반,5,80.5,67,41.9,13.8,0,0,30.4,48.1,암,암,2,4,6,0,0,6,3,서인석,Seo In Seok,070165,포화 (16%),맑음,56.5,455(-1),5.4
