장,R,발주,두수,픽1,일착,배당,적중,연승,삼픽,순위,시장,갈림
서울,1,1035,9,피오라노,선더마타,20.9,X,O,X,4,피오라노,
서울,2,1100,11,마이티챔프,월드오브드림,3.5,X,X,X,4,마이티챔프,
서울,3,1125,11,블루하와이,블루하와이,1.5,O,O,O,1,블루하와이,
서울,4,1205,11,라온더토니,라스트케이,2.2,X,X,X,4,라스트케이,★
서울,5,1310,11,파워매직,이클립스서니,11.1,X,O,O,3,파워매직,
서울,6,1400,11,로드투챔피언,로드투챔피언,1.8,O,O,O,1,로드투챔피언,
서울,7,1450,11,라온피날레,타이거불패,3.2,X,O,O,3,라온피날레,
서울,8,1540,9,클러치더비,메이저퓨리,4.3,X,O,O,2,삼정셰프,★
서울,9,1655,11,파드슈발,프리메로,3.5,X,X,O,3,라이언비트,★
서울,10,1725,9,닌자타이거,우승진리,8.3,X,O,O,3,무제한급,★
서울,11,1755,11,글로리영광,천궁스톰,7.0,X,X,X,8,글로리영광,
